epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,874.174,1.58783,1.43471,1.69745,0.75866,0.66508,0.75712,0.42531,1.5574,1.38669,1.83857,0.0005941,0.0005941,0.0005941
43,893.583,1.59076,1.43516,1.71019,0.8126,0.62445,0.69379,0.38281,1.55568,1.5101,1.83652,0.0005842,0.0005842,0.0005842
44,914.003,1.58053,1.44237,1.69942,0.78561,0.6303,0.70551,0.3921,1.56617,1.53966,1.88623,0.0005743,0.0005743,0.0005743
45,934.057,1.58909,1.42802,1.70587,0.6206,0.77338,0.76425,0.4445,1.49328,1.39013,1.76216,0.0005644,0.0005644,0.0005644
46,956.335,1.57462,1.39848,1.68797,0.85784,0.64981,0.75794,0.43376,1.49969,1.41883,1.81139,0.0005545,0.0005545,0.0005545
47,980.456,1.58842,1.39868,1.68999,0.79632,0.61652,0.70158,0.39213,1.63259,1.43864,1.96819,0.0005446,0.0005446,0.0005446
48,1000.32,1.56873,1.38845,1.68262,0.80595,0.63122,0.72392,0.41461,1.54253,1.39414,1.85092,0.0005347,0.0005347,0.0005347
49,1021.43,1.55475,1.37907,1.67539,0.82701,0.6035,0.7002,0.42878,1.52157,1.45567,1.74929,0.0005248,0.0005248,0.0005248
50,1041.75,1.57773,1.39087,1.69014,0.84211,0.60996,0.77913,0.45732,1.4311,1.33578,1.77601,0.0005149,0.0005149,0.0005149
51,1061.85,1.55656,1.37274,1.66598,0.77655,0.59967,0.67557,0.409,1.48335,1.46081,1.77732,0.000505,0.000505,0.000505
52,1081.05,1.54953,1.38176,1.67904,0.78573,0.62662,0.69642,0.39566,1.55439,1.46157,1.77694,0.0004951,0.0004951,0.0004951
53,1100.05,1.5362,1.35995,1.67185,0.83183,0.64312,0.72095,0.40915,1.54111,1.44583,1.79362,0.0004852,0.0004852,0.0004852
54,1121.28,1.54852,1.36752,1.6659,0.84926,0.64945,0.74037,0.42972,1.57938,1.3495,1.82106,0.0004753,0.0004753,0.0004753
55,1142.03,1.54075,1.38477,1.67533,0.87326,0.63675,0.73144,0.41609,1.53094,1.40221,1.82763,0.0004654,0.0004654,0.0004654
56,1161.68,1.53362,1.35226,1.65661,0.67313,0.71678,0.75243,0.41897,1.50003,1.39725,1.81183,0.0004555,0.0004555,0.0004555
57,1182.14,1.52507,1.33325,1.64332,0.75371,0.68561,0.73255,0.43811,1.45742,1.37934,1.7517,0.0004456,0.0004456,0.0004456
58,1202.19,1.50964,1.33093,1.63849,0.61555,0.7117,0.71328,0.41994,1.54977,1.49485,1.80723,0.0004357,0.0004357,0.0004357
59,1222.85,1.5227,1.34242,1.65776,0.91051,0.6221,0.7366,0.4235,1.48614,1.37347,1.74198,0.0004258,0.0004258,0.0004258
60,1243.63,1.51562,1.33054,1.6508,0.82011,0.58579,0.72207,0.42153,1.52327,1.37865,1.76639,0.0004159,0.0004159,0.0004159
61,1263.89,1.52294,1.32791,1.65789,0.74183,0.69057,0.78131,0.45344,1.48023,1.27699,1.7397,0.000406,0.000406,0.000406
62,1284.74,1.49167,1.31676,1.64632,0.54392,0.67611,0.69355,0.40698,1.59042,1.41616,1.85303,0.0003961,0.0003961,0.0003961
63,1305.49,1.49998,1.29088,1.62906,0.79768,0.63136,0.77547,0.46225,1.46332,1.31736,1.7747,0.0003862,0.0003862,0.0003862
64,1331.92,1.49322,1.29539,1.63694,0.59399,0.75907,0.73993,0.42155,1.59233,1.41557,1.89407,0.0003763,0.0003763,0.0003763
65,1352.7,1.50238,1.32229,1.64038,0.81335,0.63723,0.728,0.42435,1.54609,1.4089,1.82475,0.0003664,0.0003664,0.0003664
66,1375.97,1.49549,1.289,1.62458,0.70837,0.68551,0.70155,0.409,1.5635,1.43852,1.79496,0.0003565,0.0003565,0.0003565
67,1394.35,1.48786,1.29901,1.62172,0.82338,0.62976,0.69937,0.40701,1.55469,1.44021,1.7838,0.0003466,0.0003466,0.0003466
68,1412.7,1.50018,1.28487,1.62881,0.85202,0.60766,0.71071,0.42511,1.5215,1.41413,1.77993,0.0003367,0.0003367,0.0003367
69,1431.27,1.49188,1.29283,1.62692,0.81804,0.60766,0.69329,0.39914,1.63141,1.45456,1.8452,0.0003268,0.0003268,0.0003268
70,1449.78,1.46073,1.2618,1.60682,0.56194,0.74316,0.7606,0.42564,1.51753,1.35302,1.77031,0.0003169,0.0003169,0.0003169
71,1468.03,1.48213,1.28409,1.62336,0.67877,0.71495,0.72809,0.40081,1.58392,1.39451,1.78988,0.000307,0.000307,0.000307
72,1486.42,1.47422,1.28057,1.6216,0.80301,0.61207,0.73074,0.42702,1.49031,1.34598,1.73705,0.0002971,0.0002971,0.0002971
73,1504.69,1.4754,1.28726,1.63529,0.79076,0.65648,0.71346,0.41675,1.46989,1.36224,1.73562,0.0002872,0.0002872,0.0002872
74,1523.12,1.4827,1.28895,1.63266,0.83743,0.63147,0.72277,0.3982,1.52281,1.3793,1.78929,0.0002773,0.0002773,0.0002773
75,1541.45,1.46571,1.26162,1.62127,0.87626,0.63321,0.77755,0.44047,1.60191,1.3646,1.85797,0.0002674,0.0002674,0.0002674
76,1560.43,1.47547,1.25504,1.6177,0.80905,0.64121,0.75047,0.42318,1.53325,1.35831,1.78194,0.0002575,0.0002575,0.0002575
77,1578.78,1.47383,1.29338,1.62713,0.70955,0.68073,0.72702,0.39419,1.55084,1.43611,1.81257,0.0002476,0.0002476,0.0002476
78,1597.37,1.46862,1.2449,1.61368,0.69499,0.66638,0.75486,0.42744,1.51333,1.38802,1.8057,0.0002377,0.0002377,0.0002377
79,1616.22,1.4684,1.2472,1.6044,0.79163,0.66966,0.748,0.43144,1.51158,1.34231,1.80614,0.0002278,0.0002278,0.0002278
