epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1773.43,0.53659,0.39965,1.05833,0.53423,0.49556,0.47975,0.23879,2.00547,2.13857,2.9795,0.0005941,0.0005941,0.0005941
43,1815.37,0.53793,0.40062,1.05637,0.59637,0.44571,0.50166,0.25928,1.98647,2.19955,2.75264,0.0005842,0.0005842,0.0005842
44,1857.19,0.52951,0.39345,1.04901,0.63603,0.5167,0.5515,0.24354,2.1233,2.1715,2.95009,0.0005743,0.0005743,0.0005743
45,1899,0.50201,0.3788,1.02996,0.53459,0.44958,0.51843,0.25507,2.18103,2.20517,3.18262,0.0005644,0.0005644,0.0005644
46,1940.76,0.49685,0.36839,1.02404,0.50469,0.48059,0.44927,0.21222,2.1387,2.10471,3.1695,0.0005545,0.0005545,0.0005545
47,1982.94,0.49147,0.36472,1.01492,0.59435,0.46531,0.53998,0.27644,2.04139,2.1796,2.98492,0.0005446,0.0005446,0.0005446
48,2024.82,0.47782,0.3616,1.00361,0.53809,0.49911,0.45867,0.22398,2.15224,2.46818,3.2469,0.0005347,0.0005347,0.0005347
49,2067.55,0.459,0.35036,0.99284,0.45138,0.47331,0.44762,0.21723,2.14188,2.15413,3.21021,0.0005248,0.0005248,0.0005248
50,2109.44,0.44736,0.33905,0.98814,0.60235,0.44895,0.53044,0.23515,2.11817,2.11301,3.22198,0.0005149,0.0005149,0.0005149
51,2151.42,0.42938,0.33646,0.97671,0.68728,0.43241,0.52548,0.24331,2.09286,2.35226,3.14319,0.000505,0.000505,0.000505
52,2193.09,0.42461,0.32876,0.97462,0.41999,0.4845,0.51349,0.261,2.11111,2.17778,3.17513,0.0004951,0.0004951,0.0004951
53,2235.5,0.41148,0.3209,0.96544,0.53457,0.4622,0.48115,0.22575,2.02987,2.41888,3.08639,0.0004852,0.0004852,0.0004852
54,2278.34,0.39864,0.31606,0.96153,0.55116,0.533,0.52662,0.27598,2.01949,2.0308,3.13824,0.0004753,0.0004753,0.0004753
55,2320.36,0.38888,0.30556,0.95526,0.60525,0.46147,0.52902,0.25482,2.01807,2.22753,2.91184,0.0004654,0.0004654,0.0004654
56,2363.11,0.38689,0.3043,0.95295,0.68684,0.43758,0.52931,0.24873,2.02938,2.1581,3.07069,0.0004555,0.0004555,0.0004555
57,2405.14,0.37549,0.29455,0.94507,0.64628,0.59234,0.57892,0.28485,2.07341,1.91529,3.16639,0.0004456,0.0004456,0.0004456
