epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3714.33,1.58806,1.96184,2.15481,0.62267,0.6063,0.52012,0.20246,1.97145,1.81172,2.46335,0.0005941,0.0005941,0.0005941
43,3801.38,1.56402,1.91558,2.12789,0.66347,0.65027,0.67522,0.28358,1.86871,1.77021,2.3807,0.0005842,0.0005842,0.0005842
44,3890.88,1.58893,1.96705,2.14631,0.64898,0.76796,0.76476,0.30902,1.76814,1.71436,2.32968,0.0005743,0.0005743,0.0005743
45,3983.14,1.59977,1.95885,2.14888,0.60874,0.66506,0.67837,0.30524,1.90618,1.70428,2.41286,0.0005644,0.0005644,0.0005644
46,4070.71,1.58688,1.96509,2.14974,0.65604,0.74625,0.68631,0.32453,1.72783,1.58626,2.22498,0.0005545,0.0005545,0.0005545
47,4160.93,1.5748,1.9116,2.11832,0.67455,0.6649,0.63902,0.28922,1.75667,1.63997,2.28681,0.0005446,0.0005446,0.0005446
48,4256.51,1.57062,1.95578,2.12942,0.72809,0.7692,0.74188,0.33809,1.74351,1.58035,2.28275,0.0005347,0.0005347,0.0005347
49,4345.32,1.56442,1.91628,2.12588,0.71294,0.7179,0.65847,0.32977,1.68093,1.57812,2.24989,0.0005248,0.0005248,0.0005248
50,4430.84,1.56601,1.93228,2.13111,0.62966,0.61517,0.57226,0.23847,1.84486,1.68791,2.36857,0.0005149,0.0005149,0.0005149
51,4514.49,1.56517,1.91155,2.11127,0.58759,0.55524,0.59059,0.26093,1.80884,1.65945,2.34079,0.000505,0.000505,0.000505
52,4602.76,1.5388,1.89634,2.09976,0.81238,0.60534,0.63969,0.26909,1.93462,1.7515,2.41993,0.0004951,0.0004951,0.0004951
53,4690.49,1.53622,1.86849,2.09969,0.66126,0.71445,0.64133,0.30997,1.81592,1.59679,2.34886,0.0004852,0.0004852,0.0004852
54,4782.09,1.53269,1.87803,2.09883,0.75911,0.70506,0.68515,0.29221,1.80626,1.61054,2.32597,0.0004753,0.0004753,0.0004753
55,4870.92,1.54406,1.87079,2.10765,0.76277,0.62048,0.6248,0.29354,1.84558,1.64221,2.37748,0.0004654,0.0004654,0.0004654
56,4960.21,1.53461,1.85533,2.10041,0.77306,0.69768,0.74987,0.32769,1.8052,1.53817,2.31209,0.0004555,0.0004555,0.0004555
57,5047.47,1.53906,1.8467,2.09875,0.68287,0.63191,0.70619,0.33591,1.73817,1.53704,2.30488,0.0004456,0.0004456,0.0004456
58,5130.18,1.53565,1.85871,2.08756,0.7592,0.76366,0.80037,0.37425,1.74073,1.5423,2.23542,0.0004357,0.0004357,0.0004357
59,5212.7,1.54309,1.87649,2.11306,0.65821,0.71112,0.72092,0.30403,1.72031,1.60619,2.28037,0.0004258,0.0004258,0.0004258
60,5298.14,1.52318,1.86926,2.08898,0.67874,0.59228,0.60904,0.28916,1.78682,1.62472,2.33631,0.0004159,0.0004159,0.0004159
61,5386.46,1.5221,1.84055,2.09475,0.59582,0.68054,0.62466,0.28488,1.81383,1.56608,2.39317,0.000406,0.000406,0.000406
62,5475.85,1.52109,1.82675,2.08265,0.66897,0.706,0.67975,0.32985,1.69648,1.56366,2.22673,0.0003961,0.0003961,0.0003961
63,5564.22,1.51732,1.83806,2.0796,0.74349,0.76879,0.78239,0.35657,1.69339,1.4871,2.22116,0.0003862,0.0003862,0.0003862
64,5650.45,1.5103,1.80688,2.07802,0.69171,0.64801,0.67465,0.30189,1.77481,1.63141,2.35044,0.0003763,0.0003763,0.0003763
65,5736.1,1.50324,1.8056,2.06641,0.65698,0.71847,0.68641,0.3444,1.71108,1.52998,2.24615,0.0003664,0.0003664,0.0003664
66,5824.78,1.50435,1.8041,2.0731,0.73958,0.67517,0.71682,0.31518,1.7088,1.53621,2.26111,0.0003565,0.0003565,0.0003565
67,119.457,1.51347,1.81843,2.08767,0.673,0.75829,0.69293,0.33804,1.70925,1.5877,2.26113,0.0003466,0.0003466,0.0003466
68,204.995,1.50719,1.78391,2.0665,0.74988,0.74808,0.78284,0.35231,1.70138,1.54912,2.2785,0.0003367,0.0003367,0.0003367
69,287.41,1.49473,1.78618,2.06499,0.8546,0.77072,0.82108,0.35124,1.67494,1.51324,2.22176,0.0003268,0.0003268,0.0003268
70,369.099,1.48924,1.75537,2.05481,0.78114,0.71467,0.74342,0.36299,1.69436,1.48745,2.2354,0.0003169,0.0003169,0.0003169
71,454.23,1.48708,1.75207,2.05891,0.74511,0.73525,0.77007,0.34406,1.69847,1.53641,2.27619,0.000307,0.000307,0.000307
72,537.506,1.48652,1.75712,2.05179,0.66568,0.66431,0.62296,0.32631,1.70771,1.54403,2.22732,0.0002971,0.0002971,0.0002971
73,620.623,1.47685,1.73907,2.05359,0.68216,0.69615,0.67089,0.32578,1.71129,1.56068,2.25847,0.0002872,0.0002872,0.0002872
74,703.052,1.47748,1.73582,2.04328,0.737,0.77479,0.76127,0.34639,1.67783,1.49559,2.25722,0.0002773,0.0002773,0.0002773
75,785.176,1.47108,1.75178,2.03741,0.6536,0.68639,0.67363,0.33297,1.63671,1.51083,2.17029,0.0002674,0.0002674,0.0002674
76,869.187,1.47812,1.77307,2.05809,0.71951,0.73192,0.74644,0.33485,1.70219,1.50118,2.25139,0.0002575,0.0002575,0.0002575
77,954.461,1.47578,1.73537,2.0486,0.78319,0.76055,0.79587,0.41265,1.59227,1.34991,2.11552,0.0002476,0.0002476,0.0002476
78,1037.27,1.46453,1.70912,2.03103,0.6944,0.72358,0.70939,0.36988,1.63252,1.46403,2.17501,0.0002377,0.0002377,0.0002377
79,1121.78,1.45699,1.7159,2.03173,0.68471,0.7656,0.75092,0.37701,1.59903,1.46447,2.16021,0.0002278,0.0002278,0.0002278
80,1245.67,1.46398,1.72442,2.04112,0.73129,0.72971,0.74629,0.3883,1.63893,1.46408,2.20786,0.0002179,0.0002179,0.0002179
81,1368.22,1.44221,1.69177,2.01752,0.61328,0.65739,0.68661,0.33616,1.67319,1.52411,2.25913,0.000208,0.000208,0.000208
82,1466.42,1.46809,1.73487,2.04687,0.69083,0.68563,0.64505,0.3142,1.78606,1.50462,2.33524,0.0001981,0.0001981,0.0001981
83,1564.48,1.43834,1.68478,2.01122,0.81874,0.75367,0.77114,0.39592,1.64533,1.41388,2.17161,0.0001882,0.0001882,0.0001882
84,1664.46,1.44672,1.67874,2.01827,0.69915,0.77031,0.72527,0.38851,1.5852,1.4422,2.1523,0.0001783,0.0001783,0.0001783
85,1761.48,1.44937,1.70618,2.02801,0.64435,0.71285,0.68997,0.33175,1.64222,1.47312,2.21313,0.0001684,0.0001684,0.0001684
86,1860.82,1.44861,1.70055,2.03864,0.74313,0.71357,0.7432,0.35754,1.64948,1.41333,2.21361,0.0001585,0.0001585,0.0001585
87,1950.46,1.44972,1.67289,2.03056,0.72308,0.77751,0.73303,0.36212,1.62871,1.40836,2.21965,0.0001486,0.0001486,0.0001486
88,92.8035,1.41342,1.65597,1.99769,0.715,0.79416,0.74335,0.38951,1.60578,1.47807,2.17756,0.0001387,0.0001387,0.0001387
89,175.067,1.41383,1.63078,1.99617,0.77444,0.73827,0.76754,0.39902,1.59928,1.45694,2.17853,0.0001288,0.0001288,0.0001288
90,258.816,1.40326,1.63724,1.99126,0.75879,0.66448,0.67578,0.34911,1.60987,1.45214,2.18947,0.0001189,0.0001189,0.0001189
91,339.562,1.39826,1.43506,2.03315,0.67797,0.73047,0.70182,0.36162,1.63376,1.41708,2.22624,0.000109,0.000109,0.000109
92,420.869,1.3754,1.38667,2.01945,0.76486,0.76149,0.75335,0.38736,1.65079,1.45045,2.2289,9.91e-05,9.91e-05,9.91e-05
93,497.444,1.36669,1.37392,2.00895,0.68455,0.68758,0.71511,0.3709,1.62445,1.41148,2.21211,8.92e-05,8.92e-05,8.92e-05
94,575.519,1.35585,1.35023,1.99217,0.67134,0.68488,0.72421,0.38791,1.62457,1.42096,2.20339,7.93e-05,7.93e-05,7.93e-05
95,657.743,1.34909,1.35569,1.98141,0.69032,0.70278,0.72483,0.36227,1.65765,1.38875,2.22333,6.94e-05,6.94e-05,6.94e-05
96,734.514,1.3276,1.33216,1.97217,0.75967,0.70391,0.74518,0.38751,1.6368,1.37283,2.18348,5.95e-05,5.95e-05,5.95e-05
97,812.295,1.33316,1.32361,1.96661,0.72208,0.78102,0.75912,0.41315,1.63466,1.32149,2.19486,4.96e-05,4.96e-05,4.96e-05
98,889.992,1.3341,1.33528,1.98667,0.73958,0.75679,0.74118,0.3922,1.61433,1.34381,2.17509,3.97e-05,3.97e-05,3.97e-05
99,970.244,1.32846,1.31534,1.97517,0.75175,0.78204,0.76614,0.38372,1.61411,1.33927,2.18252,2.98e-05,2.98e-05,2.98e-05
100,1052.95,1.31423,1.31731,1.95885,0.69342,0.73899,0.69862,0.36892,1.57493,1.36541,2.15562,1.99e-05,1.99e-05,1.99e-05
